"","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
"132","01001",17245,89,1,3,5,28457,802,43.7
"133","01002",29266,74,4,11,8,27691,1038,22.9
"134","01003",11032,77,6,11,5,3531,NA,19.9
"135","01005",5356,96,0,2,2,31686,761,42.2
"136","01007",14673,91,2,2,3,32222,743,41.3
"137","01008",1144,98,0,1,1,32457,240,47.1
"138","01009",716,96,0,0,0,26422,807,44
"139","01010",3635,100,0,0,0,36406,685,45.4
"140","01011",1414,93,1,1,3,26847,704,43.6
"141","01012",577,98,0,0,2,30189,791,51
"142","01013",22113,72,3,2,22,20889,689,35.5
"143","01020",30571,82,2,1,11,27207,699,43.4
"144","01022",2794,78,10,1,6,29618,1514,37.4
"145","01026",1057,97,1,0,2,31585,650,47.9
"146","01027",17605,89,1,4,4,31327,725,43.2
"147","01028",15816,92,3,2,2,36171,826,45.5
"148","01029",596,92,0,6,1,33352,NA,53.1
"149","01030",11310,91,2,1,4,31992,711,44.4
"150","01031",1484,90,0,1,4,28090,588,43.1
"151","01032",570,97,0,1,1,33395,1007,49.1
"152","01033",6182,96,0,0,4,31069,670,44.9
"153","01034",2174,98,0,0,1,32908,722,46.2
"154","01035",5254,92,3,1,3,36471,834,45
"155","01036",5129,97,1,0,0,35699,592,48.4
"156","01037",624,91,0,0,9,42109,NA,53.6
"157","01038",2832,99,0,0,0,36282,822,47.7
"158","01039",1566,97,0,0,2,36880,677,50.2
"159","01040",40029,46,3,1,48,19968,544,36
"160","01050",2548,90,1,0,5,26597,565,41.5
"161","01053",1909,82,5,2,6,25039,632,51
"162","01054",1759,92,1,1,3,40416,880,50.3
"163","01056",21247,92,1,1,4,31117,712,44.4
"164","01057",8707,96,0,0,1,32046,708,45
"165","01060",15026,77,4,9,8,33655,905,34.2
"166","01062",11007,85,1,4,8,39088,834,43.8
"167","01063",644,69,7,12,6,2353,NA,20.2
"168","01066",0,NA,NA,NA,NA,NA,NA,NA
"169","01068",1839,99,0,0,1,32805,650,44.7
"170","01069",8975,98,0,0,1,26238,634,42.2
"171","01070",579,94,1,2,1,30544,567,54.5
